Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
TW,None,Facebook Mobile App Install Ads,TW_Android_General(All)_0410-Android(TW)_素材B001_31歲-45歲(男)_興趣遊戲(2-2),N/A,N/A,N/A,3,N/A,6,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,12,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_General(All)_0410-Android(TW)_素材B003_31歲-45歲(男)_興趣遊戲(2-3),N/A,N/A,N/A,3,N/A,8,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,9,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_LL(1-5),N/A,N/A,N/A,9,N/A,88,5,0.5556,0.0000,N/A,N/A,0.0000,N/A,9,46,0.0,9,9,0.0,9,90,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5),N/A,N/A,N/A,10,N/A,60,7,0.7000,0.0000,N/A,N/A,0.0000,N/A,9,16,0.0,9,9,0.0,9,73,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_13歲-45歲(全)_名單(2-1),N/A,N/A,N/A,1,N/A,3,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,1,1,0.0,1,5,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1),N/A,N/A,N/A,67,N/A,322,29,0.4328,0.0000,N/A,N/A,0.0000,N/A,61,138,0.0,61,61,0.0,57,420,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_名單(2-1),N/A,N/A,N/A,35,N/A,221,21,0.6000,0.0000,N/A,N/A,0.0000,N/A,35,106,0.0,35,35,0.0,34,303,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A002_18歲-45歲(全)_LL(1-2),N/A,N/A,N/A,6,N/A,43,5,0.8333,0.0000,N/A,N/A,0.0000,N/A,6,16,0.0,6,6,0.0,6,38,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A002_18歲-45歲(全)_名單(2-2),N/A,N/A,N/A,3,N/A,7,1,0.3333,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,13,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_LL(1-3),N/A,N/A,N/A,15,N/A,77,7,0.4667,0.0000,N/A,N/A,0.0000,N/A,15,31,0.0,12,12,0.0,11,85,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_名單(2-3),N/A,N/A,N/A,5,N/A,14,1,0.2000,0.0000,N/A,N/A,0.0000,N/A,5,5,0.0,5,5,0.0,5,23,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B002_18歲-45歲(全)_LL(1-4),N/A,N/A,N/A,4,N/A,50,3,0.7500,0.0000,N/A,N/A,0.0000,N/A,4,13,0.0,4,7,0.0,4,63,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_1,N/A,N/A,N/A,110,N/A,1018,53,0.4818,0.0000,N/A,N/A,0.0000,N/A,104,393,0.0,105,106,0.0,100,936,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_3,N/A,N/A,N/A,2,N/A,7,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,3,0.0,2,2,0.0,2,8,0.0
